2025-12-27 20:01:23,135 | INFO | src.core.scraper | scrape_all |  Начало скраппинга...
2025-12-27 20:01:26,509 | INFO | src.core.scraper | scrape_university |   Страница 1/3: сохранено 10 программ
2025-12-27 20:01:29,323 | INFO | src.core.scraper | scrape_university |   Страница 2/3: сохранено 10 программ
2025-12-27 20:01:32,697 | INFO | src.core.scraper | scrape_university |   Страница 3/3: сохранено 9 программ
2025-12-27 20:01:32,697 | INFO | src.core.scraper | scrape_university |   Итого по вузу: 29 программ
2025-12-27 20:01:35,262 | INFO | src.core.scraper | scrape_university |   Страница 1/6: сохранено 10 программ
2025-12-27 20:01:38,351 | INFO | src.core.scraper | scrape_university |   Страница 2/6: сохранено 10 программ
2025-12-27 20:01:41,291 | INFO | src.core.scraper | scrape_university |   Страница 3/6: сохранено 10 программ
2025-12-27 20:01:44,353 | INFO | src.core.scraper | scrape_university |   Страница 4/6: сохранено 10 программ
2025-12-27 20:01:47,264 | INFO | src.core.scraper | scrape_university |   Страница 5/6: сохранено 10 программ
2025-12-27 20:01:50,974 | INFO | src.core.scraper | scrape_university |   Страница 6/6: сохранено 6 программ
2025-12-27 20:01:50,974 | INFO | src.core.scraper | scrape_university |   Итого по вузу: 56 программ
2025-12-27 20:01:50,974 | INFO | src.core.scraper | scrape_all | ✅ Скраппинг завершён!
2025-12-27 20:01:50,978 | INFO | src.core.scraper | scrape_all | Ошибок: 0
